,open,high,low,close,adjclose,volume,ticker,adjclose_15,true_adjclose_15,buy_profit,sell_profit
2012-10-09,5.823999881744385,5.823999881744385,5.650000095367432,5.673999786376953,5.673999786376953,5965000,TSLA,-2.5391593,5.849999904632568,-8.213159084320068,0.0
2012-10-10,5.677999973297119,5.74399995803833,5.6020002365112305,5.679999828338623,5.679999828338623,2518000,TSLA,-2.5048666,5.783999919891357,-8.184866428375244,0.0
2012-10-11,5.788000106811523,5.796000003814697,5.650000095367432,5.664000034332275,5.664000034332275,2253000,TSLA,-2.4551132,6.300000190734863,-8.119113206863403,0.0
2012-10-16,5.533999919891357,5.618000030517578,5.4679999351501465,5.611999988555908,5.611999988555908,2396500,TSLA,-2.1810105,6.26200008392334,-7.793010473251343,0.0
2012-10-26,5.50600004196167,5.559999942779541,5.4039998054504395,5.47599983215332,5.47599983215332,2387000,TSLA,-1.7734739,6.599999904632569,-7.249473690986633,0.0
2012-10-31,5.539999961853027,5.670000076293945,5.473999977111816,5.625999927520752,5.625999927520752,3876000,TSLA,-1.7346886,6.49399995803833,-7.36068856716156,0.0
2012-11-27,6.426000118255615,6.5320000648498535,6.303999900817871,6.429999828338623,6.429999828338623,4554000,TSLA,-0.72365016,6.918000221252442,-7.153649985790253,0.0
2012-12-04,6.815999984741211,6.960000038146973,6.710000038146973,6.78000020980835,6.78000020980835,6316500,TSLA,-0.14392856,6.7179999351501465,0.0,6.923928767442703
2012-12-07,6.860000133514404,6.8979997634887695,6.769999980926514,6.834000110626221,6.834000110626221,3322000,TSLA,-0.353063,6.77400016784668,0.0,7.187063097953796
2012-12-13,7.052000045776367,7.059999942779541,6.550000190734863,6.7220001220703125,6.7220001220703125,10756500,TSLA,0.112290986,6.868000030517579,-6.60970913618803,0.0
2012-12-14,6.75600004196167,6.880000114440918,6.7179999351501465,6.76200008392334,6.76200008392334,5115000,TSLA,-0.0036336628,6.736000061035156,0.0,6.76563374674879
2012-12-18,6.8520002365112305,7.013999938964844,6.8520002365112305,6.918000221252441,6.918000221252441,7769500,TSLA,-0.2299202,6.705999851226807,0.0,7.147920414805412
2012-12-24,6.728000164031982,6.869999885559082,6.710000038146973,6.855999946594238,6.855999946594238,1879000,TSLA,-0.41744608,6.820000171661377,0.0,7.273446023464203
2012-12-26,6.791999816894531,6.900000095367432,6.699999809265137,6.7179999351501465,6.7179999351501465,3007000,TSLA,-0.47721705,6.875999927520752,-7.195216983556747,0.0
2012-12-27,6.699999809265137,6.7820000648498535,6.599999904632568,6.73799991607666,6.73799991607666,2805500,TSLA,-0.50411624,6.90399980545044,-7.242116153240204,0.0
2012-12-28,6.676000118255615,6.730000019073486,6.604000091552734,6.644000053405762,6.644000053405762,2070500,TSLA,-0.51353884,7.038000106811524,-7.157538890838623,0.0
2013-01-02,7.0,7.090000152587891,6.941999912261963,7.072000026702881,7.072000026702881,5974000,TSLA,-0.27829847,7.39799976348877,-7.350298494100571,0.0
2013-01-07,6.960000038146973,6.960000038146973,6.78000020980835,6.868000030517578,6.868000030517578,2210000,TSLA,0.028731618,7.5900001525878915,-6.839268412441015,0.0
2013-01-31,7.573999881744385,7.573999881744385,7.386000156402588,7.501999855041504,7.501999855041504,4507000,TSLA,-0.0057414137,7.222000122070313,0.0,7.507741268724203
2013-02-01,7.633999824523926,7.699999809265137,7.52400016784668,7.659999847412109,7.659999847412109,5503000,TSLA,0.057509135,6.875999927520752,0.0,7.602490711957216
2013-02-04,7.679999828338623,7.684000015258789,7.51800012588501,7.547999858856201,7.547999858856201,5640000,TSLA,0.1510287,6.886000156402589,0.0,7.396971166133881
2013-02-12,7.690000057220459,7.77400016784668,7.458000183105469,7.578000068664551,7.578000068664551,11306500,TSLA,0.88438827,7.538000106811523,0.0,6.693611800670624
2013-02-21,7.297999858856201,7.478000164031982,6.9079999923706055,7.0320000648498535,7.0320000648498535,45189000,TSLA,1.0354186,7.369999885559082,-5.996581435203552,0.0
2013-02-27,6.881999969482422,7.081999778747559,6.880000114440918,7.019999980926514,7.019999980926514,9796000,TSLA,-1.2804979,7.19000005722046,-8.300497889518738,0.0
2013-03-04,6.953999996185303,7.165999889373779,6.940000057220459,7.116000175476074,7.116000175476074,8788500,TSLA,-2.003422,7.50600004196167,-9.119422197341919,0.0
2013-03-11,7.77400016784668,7.888000011444092,7.730000019073486,7.820000171661377,7.820000171661377,7897500,TSLA,-0.88141185,8.868000030517578,-8.7014120221138,0.0
2013-03-21,7.190000057220459,7.4120001792907715,7.1479997634887695,7.202000141143799,7.202000141143799,5731500,TSLA,-0.4053978,8.75,-7.607397943735123,0.0
2013-04-03,8.619999885559082,8.694000244140625,8.041999816894531,8.220000267028809,8.220000267028809,28218000,TSLA,1.7553138,10.086000442504883,-6.4646865129470825,0.0
2013-04-05,8.399999618530273,8.399999618530273,8.100000381469727,8.27400016784668,8.27400016784668,7762000,TSLA,-0.09909543,10.239999771118164,-8.373095594346523,0.0
2013-04-09,8.359999656677246,8.366000175476074,8.065999984741211,8.100000381469727,8.100000381469727,8480500,TSLA,-1.1297953,10.79800033569336,-9.229795694351196,0.0
2013-04-11,8.411999702453613,8.90999984741211,8.350000381469727,8.718000411987305,8.718000411987305,17237000,TSLA,-0.9379277,10.821999549865723,-9.655928134918213,0.0
2013-04-12,8.649999618530273,9.027999877929688,8.609999656677246,8.75,8.75,15747000,TSLA,-0.5945037,10.90999984741211,-9.344503700733185,0.0
2013-04-18,9.196000099182129,9.520000457763672,9.07800006866455,9.394000053405762,9.394000053405762,16839500,TSLA,0.47801688,13.880000114440918,-8.91598317027092,0.0
2013-04-23,10.199999809265137,10.583999633789062,10.131999969482422,10.20199966430664,10.20199966430664,18669000,TSLA,1.6410265,16.648000717163086,-8.560973167419434,0.0
2013-04-29,10.35200023651123,10.998000144958496,10.239999771118164,10.98799991607666,10.98799991607666,18198500,TSLA,2.3745892,17.988000869750977,-8.613410711288452,0.0
2013-05-16,18.940000534057617,19.0,17.73200035095215,18.450000762939453,18.450000762939453,108070000,TSLA,4.721607,20.408000946044922,-13.7283935546875,0.0
